Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
146,04/09/23 00:55:02,51,0.0,90.0,308.096,70.29,72.469,72.066,68.246,68.151,65.519,59.303,57.611,50.931,44.925,41.024,37.209,35.437,35.336,36.62,40.347,44.341,41.506,40.722,39.185,30.73
147,04/09/23 00:55:19,51,0.0,160.2,308.093,153.433,156.24,156.766,151.375,150.889,145.068,136.763,132.043,120.705,110.232,100.901,94.123,91.52,88.205,87.166,89.069,172.746,85.776,84.108,82.085,75.292
148,04/09/23 00:55:43,51,45.0,19.8,308.089,152.883,156.272,156.009,150.437,150.183,143.873,135.583,130.55,119.237,108.896,99.432,92.946,89.479,86.932,85.061,86.672,87.201,84.003,81.861,81.044,73.819
149,04/09/23 00:56:01,51,45.0,160.2,308.079,157.6,160.699,160.636,155.843,155.417,149.369,140.531,136.274,124.149,113.581,103.727,97.542,94.498,91.495,90.216,91.028,143.525,87.795,85.9,84.205,77.591
151,04/09/23 00:56:24,51,90.0,19.8,308.068,151.952,154.72,154.826,149.3,148.998,142.723,134.487,129.4,118.56,108.04,98.174,91.669,88.596,86.44,85.05,86.704,88.166,83.8,81.794,80.52,73.799
152,04/09/23 00:56:42,51,90.0,160.2,308.063,161.406,164.272,164.355,159.562,158.742,152.345,143.924,140.9,127.467,115.851,106.152,100.078,96.324,93.675,91.78,93.427,96.724,89.961,87.91,86.229,79.588
154,04/09/23 00:57:05,51,135.0,19.8,308.055,150.302,153.275,153.549,148.577,147.736,141.141,133.414,130.32,117.443,107.199,97.611,91.018,88.476,86.009,84.61,86.345,116.627,83.644,81.641,80.531,72.821
155,04/09/23 00:57:23,51,135.0,160.2,308.047,161.669,165.3,164.576,159.813,159.524,153.098,144.188,138.74,127.941,116.866,107.353,100.185,97.282,93.757,92.311,94.39,93.993,90.464,89.047,87.149,80.294
158,04/09/23 00:59:16,51,0.0,19.8,308.001,154.156,157.127,157.481,151.978,151.211,144.663,135.653,131.232,120.217,109.615,99.953,93.493,90.393,87.719,86.488,87.147,87.516,85.053,83.589,80.72,74.622
159,04/09/23 00:59:33,51,0.0,90.0,308.0,69.559,71.311,72.042,68.155,68.005,65.881,60.155,56.894,51.012,45.152,40.317,37.469,35.896,34.838,36.046,40.291,43.743,41.064,41.154,39.428,30.754
